"","DispoCode","Elev","Latitude","Succ2","Temp","Prec","SoilPCA","Elephant","VillDist","PopDensity","NightLights"
"78","NRI_P006",1.33943497155637,1.38932107383704,"Sec",-1.36076354292971,-0.0897085600526153,-0.136575481585022,1,-0.705575247291246,0.862329048836143,-0.0563162551852338
"79","NRI_P008",1.4112314353805,1.23866311582718,"Prm",-1.27071301435348,-0.553782789505154,-0.136575481585022,1,0.00989355770484425,0.0514744737003813,-0.169957643291472
"80","NRI_P010",-0.298421859431717,0.253611556411711,"Prm",0.710398614323564,-0.591318205122638,-0.245505496683791,1,-0.177521619986323,-0.257458393613107,-0.170064243081761
"81","NRI_P012",0.877245235688498,-0.902210095834678,"Sec",-1.18066248577725,0.964695387747638,-2.26951024654322,1,-0.482862312735664,-0.15707755723096,-0.245137110468433
"82","NRI_P014",-0.890742685980833,-1.35393454591031,"Exp",1.34075231435717,0.213987075397943,-2.26951024654322,1,-0.218692958954122,-0.362931482230962,-0.057571317938829
"83","NRI_P015",0.84134700377643,-1.51916824210218,"Sec",-1.00056142862479,0.138916244162974,-0.136575481585022,1,-0.255624717116788,3.46783450228523,-0.0297899612177207
"84","NRI_P016",-0.0695706309922858,-0.580385500355192,"Sec",0.440247028594878,-0.673213657378969,-0.136575481585022,1,-0.699452704521848,-0.134469719026504,-0.141669758125533
"85","NRI_P017",-1.32600874791465,-0.834644585022648,"Prm",1.25070178578094,0.463085742677615,2.54273910783674,1,0.77655092150778,0.358661717390023,-0.204124591522714
"86","NRI_P018",1.26763850773223,-0.620222526555127,"Prm",-0.910510900048562,0.415313395528089,-0.245505496683791,1,0.69572816500348,-0.354668539216202,-0.290465438079979
"87","NRI_P020",-0.935615475870917,-1.19417552272557,"Exp",1.34075231435717,0.548393505444626,-2.26951024654322,1,-0.34229676086775,-0.3663804691852,-0.11939274392722
"88","NRI_P021",-0.54970948281619,-1.8732676272759,"Prm",0.260145971442417,-0.860890735466392,-0.245505496683791,1,-0.62201944423357,-0.304128718927439,-0.253622644266318
